city_name,year,month,price
Guangzhou,2019,12,34810
Guangzhou,2020,1,35493
Guangzhou,2020,2,34872
Guangzhou,2020,3,35640
Guangzhou,2020,4,32932
Guangzhou,2020,5,32753
Guangzhou,2020,6,34714
Guangzhou,2020,7,37729
Guangzhou,2020,8,37143
Guangzhou,2020,9,37126
Guangzhou,2020,10,37556
Guangzhou,2020,11,38979
Guangzhou,2020,12,38856
Guangzhou,2021,1,38789
Guangzhou,2021,2,40439
Guangzhou,2021,3,40416
Guangzhou,2021,4,43029
Guangzhou,2021,5,44095
Guangzhou,2021,6,43015
Guangzhou,2021,7,43173
Guangzhou,2021,8,44457
Guangzhou,2021,9,43693
Guangzhou,2021,10,41087
Guangzhou,2021,11,46010
Guangzhou,2021,12,46174
Guangzhou,2022,1,45409
Guangzhou,2022,2,47718
Guangzhou,2022,3,45381
Guangzhou,2022,4,45264
Guangzhou,2022,5,40126
Guangzhou,2022,6,46215
Guangzhou,2022,7,39565
Guangzhou,2022,8,40526
Guangzhou,2022,9,42839
Guangzhou,2022,10,42381
Guangzhou,2022,11,44775
Guangzhou,2022,12,48801
Guangzhou,2023,1,42960
Guangzhou,2023,2,46799
Guangzhou,2023,3,44830
Guangzhou,2023,4,45139
Guangzhou,2023,5,42610
Guangzhou,2023,6,43361
Guangzhou,2023,7,42221
Guangzhou,2023,8,41534
Guangzhou,2023,9,39307
Guangzhou,2023,10,39519
Guangzhou,2023,11,39873
Guangzhou,2023,12,38618
Guangzhou,2024,1,41435
Guangzhou,2024,2,41301
Guangzhou,2024,3,39499
Guangzhou,2024,4,37810
Guangzhou,2024,5,39663
Guangzhou,2024,6,37649
Guangzhou,2024,7,37461
Guangzhou,2024,8,38135
Guangzhou,2024,9,38372
Guangzhou,2024,10,36245
Guangzhou,2024,11,37478
Guangzhou,2024,12,38035
Guiyang,2015,1,5552
Guiyang,2015,2,5719
Guiyang,2015,3,5800
Guiyang,2015,4,5655
Guiyang,2015,5,5591
Guiyang,2015,6,5668
Guiyang,2015,7,5933
Guiyang,2015,8,5997
Guiyang,2015,9,5941
Guiyang,2015,10,5950
Guiyang,2015,11,5970
Guiyang,2015,12,5810
Guiyang,2016,1,5810
Guiyang,2016,2,5780
Guiyang,2016,3,5811
Guiyang,2016,4,5814
Guiyang,2016,5,5970
Guiyang,2016,6,6177
Guiyang,2016,7,6155
Guiyang,2016,8,6176
Guiyang,2016,9,6195
Guiyang,2016,10,6097
Guiyang,2016,11,6238
Guiyang,2016,12,6181
Guiyang,2017,1,6177
Guiyang,2017,2,6121
Guiyang,2017,3,6273
Guiyang,2017,4,6328
Guiyang,2017,5,6439
Guiyang,2017,6,6515
Guiyang,2017,7,6598
Guiyang,2017,8,6770
Guiyang,2017,9,6955
Guiyang,2017,10,7148
Guiyang,2017,11,7256
Guiyang,2017,12,7491
Guiyang,2018,1,8123
Guiyang,2018,2,8471
Guiyang,2018,3,8904
Guiyang,2018,4,9228
Guiyang,2018,5,9389
Guiyang,2018,6,9472
Guiyang,2018,7,10094
Guiyang,2018,8,10113
Guiyang,2018,9,10233
Guiyang,2018,10,10262
Guiyang,2018,11,10073
Guiyang,2018,12,10001
Guiyang,2019,1,10023
Guiyang,2019,2,10043
Guiyang,2019,3,10003
Guiyang,2019,4,9854
Guiyang,2019,5,9663
Guiyang,2019,6,9712
Guiyang,2019,7,9763
Guiyang,2019,8,9680
Guiyang,2019,9,9543
Guiyang,2019,10,9542
Guiyang,2019,11,9412
Guiyang,2019,12,9266
Guiyang,2020,1,9269
Guiyang,2020,2,9259
Guiyang,2020,3,9358
Guiyang,2020,4,9467
Guiyang,2020,5,9197
Guiyang,2020,6,9233
Guiyang,2020,7,9172
Guiyang,2020,8,9268
Guiyang,2020,9,9384
Guiyang,2020,10,9425
Guiyang,2020,11,9108
Guiyang,2020,12,9281
Guiyang,2021,1,9355
Guiyang,2021,2,9403
Guiyang,2021,3,9411
Guiyang,2021,4,9213
Guiyang,2021,5,9235
Guiyang,2021,6,9629
Guiyang,2021,7,9363
Guiyang,2021,8,9383
Guiyang,2021,9,9497
Guiyang,2021,10,9248
Guiyang,2021,11,9609
Guiyang,2021,12,9291
Guiyang,2022,1,9321
Guiyang,2022,2,9272
Guiyang,2022,3,9301
Guiyang,2022,4,9067
Guiyang,2022,5,9228
Guiyang,2022,6,9117
Guiyang,2022,7,9208
Guiyang,2022,8,9097
Guiyang,2022,9,8976
Guiyang,2022,10,9162
Guiyang,2022,11,9135
Guiyang,2022,12,9022
Guiyang,2023,1,8769
Guiyang,2023,2,8951
Guiyang,2023,3,9034
Guiyang,2023,4,8994
Guiyang,2023,5,9103
Guiyang,2023,6,8869
Guiyang,2023,7,8808
Guiyang,2023,8,8403
Guiyang,2023,9,8448
Guiyang,2023,10,8278
Guiyang,2023,11,8284
Guiyang,2023,12,8209
Guiyang,2024,1,8334
Guiyang,2024,2,8506
Guiyang,2024,3,8467
Guiyang,2024,4,8280
Guiyang,2024,5,8158
Guiyang,2024,6,8162
Guiyang,2024,7,8018
Guiyang,2024,8,8004
Guiyang,2024,9,8201
Guiyang,2024,10,8032
Guiyang,2024,11,8120
Guiyang,2024,12,7955
Haikou,2015,1,7146
Haikou,2015,2,7246
Haikou,2015,3,7448
Haikou,2015,4,7458
Haikou,2015,5,7387
Haikou,2015,6,7327
Haikou,2015,7,7346
Haikou,2015,8,7339
Haikou,2015,9,7354
Haikou,2015,10,7272
Haikou,2015,11,7264
Haikou,2015,12,7208
Haikou,2016,1,7208
Haikou,2016,2,7206
Haikou,2016,3,7323
Haikou,2016,4,7332
Haikou,2016,5,7387
Haikou,2016,6,7165
Haikou,2016,7,7149
Haikou,2016,8,7232
Haikou,2016,9,7384
Haikou,2016,10,7601
Haikou,2016,11,7453
Haikou,2016,12,7454
Haikou,2017,1,7675
Haikou,2017,2,7842
Haikou,2017,3,8220
Haikou,2017,4,9023
Haikou,2017,5,9530
Haikou,2017,6,9979
Haikou,2017,7,10012
Haikou,2017,8,10238
Haikou,2017,9,10708
Haikou,2017,10,11273
Haikou,2017,11,11881
Haikou,2017,12,11978
Haikou,2018,1,12738
Haikou,2018,2,13086
Haikou,2018,3,13693
Haikou,2018,4,14149
Haikou,2018,5,14455
Haikou,2018,6,14621
Haikou,2018,7,15261
Haikou,2018,8,15551
Haikou,2018,9,16712
Haikou,2018,10,15921
Haikou,2018,11,15773
